bundle_final_price,bundle_url,bundle_price,bundle_name,bundle_id,items,bundle_discount
$18.98,http://store.steampowered.com/bundle/1150/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$19.98,Blade Ballet Turntable Edition,1150,"[{'genre': 'Action, Casual, Indie', 'item_id': '460750', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/460750', 'item_name': 'Blade Ballet'}, {'genre': 'Action, Casual, Indie', 'item_id': '510600', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/510600', 'item_name': 'Blade Ballet Soundtrack'}]",5%
$17.98,http://store.steampowered.com/bundle/585/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$19.98,Where Angels Cry Bundle,585,"[{'genre': 'Casual', 'item_id': '277560', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/277560', 'item_name': 'Where Angels Cry'}, {'genre': 'Adventure', 'item_id': '413470', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/413470', 'item_name': ""Where Angels Cry: Tears of the Fallen (Collector's Edition)""}]",10%
$10.78,http://store.steampowered.com/bundle/1226/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$11.98,Selma and the Wisp plus Soundtrack,1226,"[{'genre': 'Adventure, Casual, Indie', 'item_id': '495980', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/495980', 'item_name': 'Selma and the Wisp'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '512990', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/512990', 'item_name': 'Selma and the Wisp - Soundtrack'}]",10%
$499.98,http://store.steampowered.com/bundle/916/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$999.98,SONAR Platinum with Lifetime Updates - New Users,916,"[{'genre': 'Audio Production', 'item_id': '380080', 'discounted_price': '$499.99', 'item_url': 'http://store.steampowered.com/app/380080', 'item_name': 'SONAR Steam Edition'}, {'genre': 'Audio Production', 'item_id': '500400', 'discounted_price': '$499.99', 'item_url': 'http://store.steampowered.com/app/500400', 'item_name': 'SONAR Platinum - Lifetime Pass'}]",50%
$2.47,http://store.steampowered.com/bundle/501/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$18.96,Puzzle Bundle,501,"[{'genre': 'Action, Adventure, Casual, Indie, Simulation, Strategy', 'item_id': '314020', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/314020', 'item_name': 'Morphopolis'}, {'genre': 'Action, Adventure, Casual, Indie, Strategy', 'item_id': '340070', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/340070', 'item_name': 'Battle Ranch: Pigs vs Plants'}, {'genre': 'Adventure, Casual, Indie, Simulation, Strategy', 'item_id': '360380', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/360380', 'item_name': 'Tiny Bridge: Ratventure'}, {'genre': 'Action, Adventure, Casual, Indie, Simulation, Strategy', 'item_id': '416080', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/416080', 'item_name': 'The Odyssey: Winds of Athena'}]",87%
$10.78,http://store.steampowered.com/bundle/614/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$11.98,Doodle God & Doodle Kingdom,614,"[{'genre': 'Casual, Indie, Simulation', 'item_id': '348360', 'discounted_price': '$5.99', 'item_url': 'http://store.steampowered.com/app/348360', 'item_name': 'Doodle God'}, {'genre': 'Action, Casual, Indie, Simulation', 'item_id': '431640', 'discounted_price': '$5.99', 'item_url': 'http://store.steampowered.com/app/431640', 'item_name': 'Doodle Kingdom'}]",10%
$3.23,http://store.steampowered.com/bundle/441/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$4.98,Quiet River Bundle,441,"[{'genre': 'Adventure, Indie', 'item_id': '444260', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/444260', 'item_name': 'Mindless Running'}, {'genre': 'Indie', 'item_id': '491000', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/491000', 'item_name': 'Gravity Cat'}]",35%
$1.58,http://store.steampowered.com/bundle/526/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$1.98,Poo Pack,526,"[{'genre': 'Casual, Indie', 'item_id': '449540', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/449540', 'item_name': ""There's Poop In My Soup""}, {'genre': 'Casual, Indie, Simulation, Strategy', 'item_id': '485870', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/485870', 'item_name': 'Super Duper Party Pooper'}]",20%
$25.17,http://store.steampowered.com/bundle/262/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$29.97,Guns of Icarus Online + Alliance Collector's Edition Bundle,262,"[{'genre': 'Action, Adventure, Indie, Simulation', 'item_id': '209080', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/209080', 'item_name': 'Guns of Icarus Online'}, {'genre': 'Action, Adventure, Indie, Simulation', 'item_id': '252590', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/252590', 'item_name': 'Guns of Icarus Alliance'}, {'genre': '', 'item_id': '217810,217811', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/217810,217811', 'item_name': ""Guns of Icarus Online Collector's Edition Upgrade""}]",16%
$27.98,http://store.steampowered.com/bundle/1085/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$34.98,Hanako Yuri Bundle,1085,"[{'genre': 'Indie, RPG, Simulation, Strategy', 'item_id': '400580', 'discounted_price': '$19.99', 'item_url': 'http://store.steampowered.com/app/400580', 'item_name': 'Black Closet'}, {'genre': 'Indie, Simulation', 'item_id': '449250', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/449250', 'item_name': 'A Little Lily Princess'}]",20%
$38.20,http://store.steampowered.com/bundle/929/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$50.95,Alice and Smith - Complete Library,929,"[{'genre': 'Indie, Massively Multiplayer, RPG', 'item_id': '349220', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/349220', 'item_name': 'The Black Watchmen'}, {'genre': 'Adventure, Casual, Indie, Massively Multiplayer, Strategy', 'item_id': '379750', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/379750', 'item_name': 'The Black Watchmen - Original Soundtrack'}, {'genre': 'Indie, Massively Multiplayer, RPG', 'item_id': '396810', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/396810', 'item_name': 'The Black Watchmen - Season 2: Enduring Conflict'}, {'genre': 'Indie, Massively Multiplayer, RPG', 'item_id': '397370', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/397370', 'item_name': 'The Black Watchmen - Mother Russia'}, {'genre': 'Adventure, Casual, Indie, Strategy, Early Access', 'item_id': '449730', 'discounted_price': '$5.99', 'item_url': 'http://store.steampowered.com/app/449730', 'item_name': 'Ahnayro: The Dream World'}]",25%
$9.92,http://store.steampowered.com/bundle/1275/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$13.98,Uprising Complete,1275,"[{'genre': 'Action, Strategy', 'item_id': '465360', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/465360', 'item_name': 'Uprising: Join or Die'}, {'genre': 'Action, Strategy', 'item_id': '514050', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/514050', 'item_name': 'Uprising 2: Lead and Destroy'}]",29%
$20.67,http://store.steampowered.com/bundle/676/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$22.97,NEKOPARA complete edition,676,"[{'genre': 'Casual, Indie', 'item_id': '333600', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/333600', 'item_name': 'NEKOPARA Vol. 1'}, {'genre': 'Casual, Indie', 'item_id': '385800', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/385800', 'item_name': 'NEKOPARA Vol. 0'}, {'genre': 'Casual, Indie', 'item_id': '420110', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/420110', 'item_name': 'NEKOPARA Vol. 2'}]",10%
$11.98,http://store.steampowered.com/bundle/406/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$19.98,Zeno Archives,406,"[{'genre': 'Action', 'item_id': '402030', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/402030', 'item_name': 'Zenohell'}, {'genre': 'Action, Indie', 'item_id': '466820', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/466820', 'item_name': 'Zenodyne R'}]",40%
$38.67,http://store.steampowered.com/bundle/413/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$42.97,M2H Bundle,413,"[{'genre': 'Action, Indie, Simulation, Strategy', 'item_id': '242860', 'discounted_price': '$24.99', 'item_url': 'http://store.steampowered.com/app/242860', 'item_name': 'Verdun'}, {'genre': 'Action, Casual, Indie, Racing, Simulation', 'item_id': '343440', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/343440', 'item_name': 'Crash Drive 2'}, {'genre': 'Action, Casual, Indie, Early Access', 'item_id': '423810', 'discounted_price': '$12.99', 'item_url': 'http://store.steampowered.com/app/423810', 'item_name': 'Marooners'}]",10%
$14.38,http://store.steampowered.com/bundle/305/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$15.98,OPUS: Soundtrack Bundle,305,"[{'genre': 'Adventure, Indie', 'item_id': '457680', 'discounted_price': '$8.99', 'item_url': 'http://store.steampowered.com/app/457680', 'item_name': 'OPUS: The Day We Found Earth'}, {'genre': 'Adventure, Indie', 'item_id': '458740', 'discounted_price': '$6.99', 'item_url': 'http://store.steampowered.com/app/458740', 'item_name': 'OPUS Original Soundtrack'}]",10%
$19.98,http://store.steampowered.com/bundle/215/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$24.98,"That Dragon, Cancer + Thank You For Playing",215,"[{'genre': 'Adventure, Indie', 'item_id': '419460', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/419460', 'item_name': 'That Dragon, Cancer'}, {'genre': '', 'item_id': '433500', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/433500', 'item_name': 'Thank You For Playing'}]",20%
$7.18,http://store.steampowered.com/bundle/974/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$7.98,The Secret Monster Society - Chapter One + Soundtrack,974,"[{'genre': 'Adventure, Casual, Indie', 'item_id': '495960', 'discounted_price': '$5.99', 'item_url': 'http://store.steampowered.com/app/495960', 'item_name': 'The Secret Monster Society - Chapter 1:  Monsters, Fires and Forbidden Forests'}, {'genre': 'Adventure, Casual, Indie', 'item_id': '500250', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/500250', 'item_name': 'The Secret Monster Society Soundtrack'}]",10%
$17.08,http://store.steampowered.com/bundle/653/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$18.98,The Real Texas - Dusty Skies Edition,653,"[{'genre': 'Action, Adventure, Indie, RPG', 'item_id': '261900', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/261900', 'item_name': 'The Real Texas'}, {'genre': 'Action, Adventure, Indie, RPG', 'item_id': '468790', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/468790', 'item_name': 'The Real Texas - Cellpop Goes Out At Night'}]",10%
$8.08,http://store.steampowered.com/bundle/533/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$8.98,Spakoyno GOTY Edition,533,"[{'genre': 'Adventure, Casual', 'item_id': '388120', 'discounted_price': '$7.99', 'item_url': 'http://store.steampowered.com/app/388120', 'item_name': 'Spakoyno: Back to the USSR 2.0'}, {'genre': 'Adventure, Casual', 'item_id': '459660', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/459660', 'item_name': 'Spakoyno: Back To USSR 2.0 - OST'}]",10%
$2.53,http://store.steampowered.com/bundle/346/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$2.98,"Linea, the Game - Complete Edition",346,"[{'genre': 'Action, Casual, Indie', 'item_id': '428900', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/428900', 'item_name': 'Linea, the Game'}, {'genre': 'Action, Casual, Indie', 'item_id': '453330', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/453330', 'item_name': 'Linea, the Game - Broken Chiptunes'}]",15%
$27.95,http://store.steampowered.com/bundle/1307/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$33.28,Now You See Me Double Feature,1307,"[{'genre': '', 'item_id': '417580', 'discounted_price': '$13.99', 'item_url': 'http://store.steampowered.com/app/417580', 'item_name': 'Now You See Me'}, {'genre': '', 'item_id': '504930', 'discounted_price': '$19.29', 'item_url': 'http://store.steampowered.com/app/504930', 'item_name': 'Now You See Me 2'}]",16%
$49.71,http://store.steampowered.com/bundle/1303/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$82.91,Spiderweb Software Super-Gigantic Bundle,1303,"[{'genre': 'RPG, Indie', 'item_id': '112100', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/112100', 'item_name': 'Avadon: The Black Fortress'}, {'genre': 'Strategy, RPG, Indie', 'item_id': '200960,200980,200990,201000,201010', 'discounted_price': '$19.99', 'item_url': 'http://store.steampowered.com/app/200960,200980,200990,201000,201010', 'item_name': 'Geneforge Saga'}, {'genre': 'Strategy, RPG, Indie', 'item_id': '208400', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/208400', 'item_name': 'Avernum: Escape From the Pit'}, {'genre': 'RPG, Indie', 'item_id': '206020', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/206020', 'item_name': 'Avernum 4'}, {'genre': 'RPG, Indie', 'item_id': '206040', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/206040', 'item_name': 'Avernum 5'}, {'genre': 'RPG, Indie', 'item_id': '206060', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/206060', 'item_name': 'Avernum 6'}, {'genre': 'Strategy, RPG, Indie', 'item_id': '218020', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/218020', 'item_name': 'Nethergate: Resurrection'}, {'genre': 'Indie, RPG, Strategy', 'item_id': '233310', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/233310', 'item_name': 'Avadon 2: The Corruption'}, {'genre': 'Adventure, Indie, RPG, Strategy', 'item_id': '337850', 'discounted_price': '$19.99', 'item_url': 'http://store.steampowered.com/app/337850', 'item_name': 'Avernum 2: Crystal Souls'}]",40%
$89.98,http://store.steampowered.com/bundle/1156/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$89.98,F1 2016 - Steam Controller Bundle,1156,"[{'genre': 'Racing, Simulation, Sports', 'item_id': '391040', 'discounted_price': '$59.99', 'item_url': 'http://store.steampowered.com/app/391040', 'item_name': 'F1 2016'}, {'genre': '', 'item_id': '353370', 'discounted_price': '$29.99', 'item_url': 'http://store.steampowered.com/app/353370', 'item_name': 'Steam Controller'}]",0%
$1.58,http://store.steampowered.com/bundle/1259/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$1.98,Gone In November Collector's Edition,1259,"[{'genre': 'Adventure, Indie', 'item_id': '507390', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/507390', 'item_name': 'Gone In November'}, {'genre': 'Adventure, Indie', 'item_id': '511240', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/511240', 'item_name': ""Gone In November Collector's Edition Content""}]",20%
$66.53,http://store.steampowered.com/bundle/1265/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$73.93,Mystery Case Files Bundle,1265,"[{'genre': 'Casual', 'item_id': '50960', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/50960', 'item_name': 'Mystery Case Files: Huntsville'}, {'genre': 'Casual', 'item_id': '50970', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/50970', 'item_name': 'Mystery Case Files: Madame Fate'}, {'genre': 'Casual', 'item_id': '50980', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/50980', 'item_name': 'Mystery Case Files: Prime Suspects'}, {'genre': 'Casual', 'item_id': '50990', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/50990', 'item_name': 'Mystery Case Files: Ravenhearst'}, {'genre': 'Casual', 'item_id': '51000', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/51000', 'item_name': 'Mystery Case Files: Return to Ravenhearst'}, {'genre': 'Adventure, Casual', 'item_id': '438560', 'discounted_price': '$9.99', 'item_url': 'http://store.steampowered.com/app/438560', 'item_name': 'Mystery Case Files®: Escape from Ravenhearst™'}, {'genre': 'Adventure, Casual', 'item_id': '514700', 'discounted_price': '$13.99', 'item_url': 'http://store.steampowered.com/app/514700', 'item_name': ""Mystery Case Files®: 13th Skull™ Collector's Edition""}]",10%
$2.68,http://store.steampowered.com/bundle/1266/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$2.98,SPACE PACK,1266,"[{'genre': 'Action, Casual, Indie', 'item_id': '513770', 'discounted_price': '$0.99', 'item_url': 'http://store.steampowered.com/app/513770', 'item_name': 'Click Space Miner'}, {'genre': 'Action, Casual, Indie', 'item_id': '516100', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/516100', 'item_name': 'Space Click Miner - Expansion Pack'}]",10%
$70.01,http://store.steampowered.com/bundle/1188/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$85.40,DMC4SE Demon Hunter Bundle + DmC Complete Pack,1188,"[{'genre': 'Action, Adventure', 'item_id': '220440', 'discounted_price': '$29.99', 'item_url': 'http://store.steampowered.com/app/220440', 'item_name': 'DmC: Devil May Cry'}, {'genre': 'Action', 'item_id': '223790', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/223790', 'item_name': 'DmC Devil May Cry: Costume Pack'}, {'genre': 'Action', 'item_id': '223792', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/223792', 'item_name': 'DmC Devil May Cry: Weapon Bundle'}, {'genre': 'Action', 'item_id': '223793', 'discounted_price': '$8.99', 'item_url': 'http://store.steampowered.com/app/223793', 'item_name': ""DmC Devil May Cry: Vergil's Downfall""}, {'genre': 'Action', 'item_id': '359490', 'discounted_price': '$1.49', 'item_url': 'http://store.steampowered.com/app/359490', 'item_name': 'Unlock All Modes'}, {'genre': 'Action', 'item_id': '359491', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/359491', 'item_name': 'S.Nero/Dante/Vergil'}, {'genre': 'Action', 'item_id': '359495', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/359495', 'item_name': 'Proud Souls (200,000)'}, {'genre': 'Action', 'item_id': '359496', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/359496', 'item_name': 'Lady & Trish Costumes'}, {'genre': 'Action', 'item_id': '359497', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/359497', 'item_name': 'Red Orbs (300,000)'}, {'genre': 'Action', 'item_id': '329050', 'discounted_price': '$24.99', 'item_url': 'http://store.steampowered.com/app/329050', 'item_name': 'Devil May Cry® 4 Special Edition'}]",18%
$117.39,http://store.steampowered.com/bundle/1190/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$300.63,2016 Capcom Collector's Bundle,1190,"[{'genre': 'Casual, Strategy', 'item_id': '21640', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/21640', 'item_name': 'Flock!'}, {'genre': 'Action, Adventure', 'item_id': '45740', 'discounted_price': '$19.99', 'item_url': 'http://store.steampowered.com/app/45740', 'item_name': 'Dead Rising® 2'}, {'genre': 'Action', 'item_id': '45773', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/45773', 'item_name': 'Dead Rising 2: Off the Record BBQ Chef Skills Pack'}, {'genre': 'Action', 'item_id': '45774', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/45774', 'item_name': 'Dead Rising 2: Off the Record COSPLAY Skills Pack'}, {'genre': 'Action', 'item_id': '45775', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/45775', 'item_name': 'Dead Rising 2: Off the Record Cyborg Skills Pack'}, {'genre': 'Action', 'item_id': '45776', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/45776', 'item_name': 'Dead Rising 2: Off the Record Firefighter Skills Pack'}, {'genre': 'Action, Adventure', 'item_id': '220440', 'discounted_price': '$29.99', 'item_url': 'http://store.steampowered.com/app/220440', 'item_name': 'DmC: Devil May Cry'}, {'genre': 'Action', 'item_id': '223790', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/223790', 'item_name': 'DmC Devil May Cry: Costume Pack'}, {'genre': 'Action, Adventure', 'item_id': '221040', 'discounted_price': '$29.99', 'item_url': 'http://store.steampowered.com/app/221040', 'item_name': 'Resident Evil 6 / Biohazard 6'}, {'genre': 'Action', 'item_id': '223792', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/223792', 'item_name': 'DmC Devil May Cry: Weapon Bundle'}, {'genre': 'Action', 'item_id': '223793', 'discounted_price': '$8.99', 'item_url': 'http://store.steampowered.com/app/223793', 'item_name': ""DmC Devil May Cry: Vergil's Downfall""}, {'genre': 'Action, Adventure', 'item_id': '232530', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/232530', 'item_name': 'RE6 / BH6: Onslaught Mode'}, {'genre': 'Action, Adventure', 'item_id': '232550', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/232550', 'item_name': 'RE6 / BH6: Predator Mode'}, {'genre': 'Action, Adventure', 'item_id': '232590', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/232590', 'item_name': 'RE6 / BH6: Survivors Mode'}, {'genre': 'Action, Adventure', 'item_id': '232570', 'discounted_price': '$3.99', 'item_url': 'http://store.steampowered.com/app/232570', 'item_name': 'RE6 / BH6: Siege Mode'}, {'genre': 'Action', 'item_id': '226720', 'discounted_price': '$24.99', 'item_url': 'http://store.steampowered.com/app/226720', 'item_name': 'LOST PLANET® 3'}, {'genre': 'Action', 'item_id': '234230', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/234230', 'item_name': 'LOST PLANET® 3 - Assault Pack'}, {'genre': 'Action', 'item_id': '234210', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/234210', 'item_name': 'LOST PLANET® 3 - Punisher Pack'}, {'genre': 'Action', 'item_id': '234250', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/234250', 'item_name': 'LOST PLANET® 3 - Freedom Fighter Pack'}, {'genre': 'Action', 'item_id': '236570', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/236570', 'item_name': 'LOST PLANET® 3 - Survival Pack'}, {'genre': 'Action', 'item_id': '233940', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/233940', 'item_name': 'LOST PLANET® 3 - Map Pack 2'}, {'genre': 'Action', 'item_id': '233920', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/233920', 'item_name': 'LOST PLANET® 3 - Map Pack 1'}, {'genre': 'Action', 'item_id': '233960', 'discounted_price': '$4.99', 'item_url': 'http://store.steampowered.com/app/233960', 'item_name': 'LOST PLANET® 3 - Map Pack 3'}, {'genre': 'Action, Adventure', 'item_id': '235210', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/235210', 'item_name': 'STRIDER™ / ストライダー飛竜®'}, {'genre': 'Action, Adventure', 'item_id': '45770', 'discounted_price': '$19.99', 'item_url': 'http://store.steampowered.com/app/45770', 'item_name': 'Dead Rising 2: Off the Record'}, {'genre': 'Action, Adventure', 'item_id': '353050', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/353050', 'item_name': 'Dead Rising 2 - Ninja Skills Pack'}, {'genre': 'Action, Adventure', 'item_id': '353051', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/353051', 'item_name': 'Dead Rising 2 - Psychopath Skills Pack'}, {'genre': 'Action, Adventure', 'item_id': '353052', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/353052', 'item_name': 'Dead Rising 2 - Soldier of Fortune Pack'}, {'genre': 'Action, Adventure', 'item_id': '353053', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/353053', 'item_name': 'Dead Rising 2 - Sports Fan Skills Pack'}, {'genre': 'Action, Adventure', 'item_id': '381710', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/381710', 'item_name': 'Resident Evil 0 Costume Pack 1'}, {'genre': 'Action, Adventure', 'item_id': '381711', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/381711', 'item_name': 'Resident Evil 0 Costume Pack 2'}, {'genre': 'Action, Adventure', 'item_id': '381712', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/381712', 'item_name': 'Resident Evil 0 Costume Pack 3'}, {'genre': 'Action, Adventure', 'item_id': '381713', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/381713', 'item_name': 'Resident Evil 0 Costume Pack 4'}, {'genre': 'Action, Adventure', 'item_id': '339340', 'discounted_price': '$19.99', 'item_url': 'http://store.steampowered.com/app/339340', 'item_name': 'Resident Evil 0 / biohazard 0 HD REMASTER'}, {'genre': 'Action', 'item_id': '450000', 'discounted_price': '$14.99', 'item_url': 'http://store.steampowered.com/app/450000', 'item_name': 'Upgrade Pack/エージェントゴーストパック'}, {'genre': 'Action', 'item_id': '450001', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/450001', 'item_name': 'Fashion Victim Pack/ユニークカラーセット'}, {'genre': 'Action', 'item_id': '390340', 'discounted_price': '$29.99', 'item_url': 'http://store.steampowered.com/app/390340', 'item_name': 'Umbrella Corps™/Biohazard Umbrella Corps™'}]",61%
$3.98,http://store.steampowered.com/bundle/1196/?utm_source=SteamDB&utm_medium=SteamDB&utm_campaign=SteamDB%20Bundles%20Page,$4.98,Blasting Agent: Ultimate Edition + Original Soundtrack,1196,"[{'genre': 'Action, Adventure, Indie', 'item_id': '453810', 'discounted_price': '$2.99', 'item_url': 'http://store.steampowered.com/app/453810', 'item_name': 'Blasting Agent: Ultimate Edition'}, {'genre': 'Action, Adventure, Indie', 'item_id': '509200', 'discounted_price': '$1.99', 'item_url': 'http://store.steampowered.com/app/509200', 'item_name': 'Blasting Agent: Ultimate Edition OST'}]",20%
